issue_id,issue_type,story_points,assignee_id
BP-0001,Bug,0,U028
BP-0002,Story,8,U009
BP-0003,Bug,0,U001
BP-0004,Bug,0,U026
BP-0005,Bug,0,U019
BP-0006,Tech Debt,3,U028
BP-0007,Bug,0,U029
BP-0008,Story,2,U005
BP-0009,Story,8,U003
BP-0010,Bug,0,U012
BP-0011,Story,2,U014
BP-0012,Bug,0,U030
BP-0013,Story,2,U011
BP-0014,Tech Debt,1,U026
BP-0015,Story,5,U012
BP-0016,Story,8,U028
BP-0017,Story,5,U025
BP-0018,Tech Debt,2,U025
BP-0019,Bug,0,U012
BP-0020,Story,1,U022
BP-0021,Story,5,U006
BP-0022,Bug,0,U014
BP-0023,Story,5,U001
BP-0024,Bug,0,U028
BP-0025,Story,5,U013
BP-0026,Story,2,U021
BP-0027,Story,2,U029
BP-0028,Story,5,U020
BP-0029,Story,3,U020
BP-0030,Story,2,U020
BP-0031,Story,5,U027
BP-0032,Story,3,U022
BP-0033,Story,1,U009
BP-0034,Story,8,U018
BP-0035,Tech Debt,2,U002
BP-0036,Story,3,U017
BP-0037,Bug,0,U021
BP-0038,Story,2,U030
BP-0039,Story,2,U006
BP-0040,Bug,0,U003
BP-0041,Bug,0,U030
BP-0042,Story,2,U021
BP-0043,Story,5,U013
BP-0044,Story,3,U005
BP-0045,Story,3,U022
BP-0046,Story,8,U022
BP-0047,Story,1,U009
BP-0048,Bug,0,U014
BP-0049,Story,3,U022
BP-0050,Tech Debt,8,U022
BP-0051,Bug,0,U018
BP-0052,Tech Debt,2,U018
BP-0053,Story,1,U026
BP-0054,Tech Debt,2,U019
BP-0055,Story,1,U010
BP-0056,Story,5,U026
BP-0057,Bug,0,U010
BP-0058,Tech Debt,5,U010
BP-0059,Story,5,U028
BP-0060,Story,5,U027
BP-0061,Story,3,U009
BP-0062,Story,3,U013
BP-0063,Bug,0,U003
BP-0064,Bug,0,U028
BP-0065,Story,1,U009
BP-0066,Story,1,U025
BP-0067,Story,8,U028
BP-0068,Story,3,U017
BP-0069,Story,3,U001
BP-0070,Story,5,U028
BP-0071,Story,3,U020
BP-0072,Tech Debt,1,U021
BP-0073,Tech Debt,5,U009
BP-0074,Bug,0,U002
BP-0075,Bug,0,U003
BP-0076,Tech Debt,1,U022
BP-0077,Tech Debt,1,U009
BP-0078,Bug,0,U001
BP-0079,Story,3,U028
BP-0080,Story,8,U002
BP-0081,Story,3,U026
BP-0082,Bug,0,U010
BP-0083,Story,1,U017
BP-0084,Story,1,U005
BP-0085,Story,5,U018
BP-0086,Bug,0,U006
BP-0087,Bug,0,U021
BP-0088,Tech Debt,3,U013
BP-0089,Story,1,U010
BP-0090,Bug,0,U005
BP-0091,Story,1,U012
BP-0092,Tech Debt,5,U003
BP-0093,Story,1,U025
BP-0094,Story,5,U006
BP-0095,Tech Debt,5,U030
BP-0096,Story,3,U022
BP-0097,Bug,0,U005
BP-0098,Story,2,U003
BP-0099,Story,1,U017
BP-0100,Story,1,U028
BP-0101,Bug,0,U028
BP-0102,Story,3,U013
BP-0103,Story,8,U018
BP-0104,Bug,0,U021
BP-0105,Story,2,U009
BP-0106,Story,1,U013
BP-0107,Story,1,U011
BP-0108,Story,2,U013
BP-0109,Story,5,U030
BP-0110,Bug,0,U010
BP-0111,Story,2,U010
BP-0112,Story,8,U028
BP-0113,Story,2,U001
BP-0114,Tech Debt,5,U021
BP-0115,Story,5,U009
BP-0116,Bug,0,U001
BP-0117,Story,5,U003
BP-0118,Tech Debt,5,U030
BP-0119,Tech Debt,3,U022
BP-0120,Bug,0,U006
BP-0121,Bug,0,U011
BP-0122,Bug,0,U010
BP-0123,Tech Debt,3,U022
BP-0124,Story,5,U017
BP-0125,Story,1,U011
BP-0126,Bug,0,U006
BP-0127,Story,8,U002
BP-0128,Story,1,U010
BP-0129,Story,1,U030
BP-0130,Bug,0,U025
BP-0131,Story,3,U010
BP-0132,Tech Debt,2,U017
BP-0133,Story,5,U019
BP-0134,Story,5,U020
BP-0135,Bug,0,U002
BP-0136,Story,3,U009
BP-0137,Story,2,U025
